timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1647983526956,121,getEfCore,200,OK,10000User 1-1,text,true,,123418,121,16,16,https://10.10.1.62:8001/getEfCore,,116,1,0,MAIN-DESKTOP,0,6
1647983527055,50,getEfCore,200,OK,10000User 1-13,text,true,,123418,121,18,18,https://10.10.1.62:8001/getEfCore,,43,1,0,MAIN-DESKTOP,0,8
1647983526965,166,getEfCore,200,OK,10000User 1-2,text,true,,123418,121,20,20,https://10.10.1.62:8001/getEfCore,,159,1,0,MAIN-DESKTOP,0,5
1647983526973,166,getEfCore,200,OK,10000User 1-3,text,true,,123418,121,20,20,https://10.10.1.62:8001/getEfCore,,158,1,0,MAIN-DESKTOP,0,6
1647983527108,43,getEfCore,200,OK,10000User 1-20,text,true,,123418,121,21,21,https://10.10.1.62:8001/getEfCore,,38,1,0,MAIN-DESKTOP,0,10
1647983527117,41,getEfCore,200,OK,10000User 1-21,text,true,,123418,121,21,21,https://10.10.1.62:8001/getEfCore,,36,1,0,MAIN-DESKTOP,0,8
1647983527140,50,getEfCore,200,OK,10000User 1-24,text,true,,123418,121,24,24,https://10.10.1.62:8001/getEfCore,,43,1,0,MAIN-DESKTOP,0,7
1647983527147,51,getEfCore,200,OK,10000User 1-25,text,true,,123418,121,24,24,https://10.10.1.62:8001/getEfCore,,44,1,0,MAIN-DESKTOP,0,8
1647983527163,36,getEfCore,200,OK,10000User 1-27,text,true,,123418,121,23,23,https://10.10.1.62:8001/getEfCore,,33,1,0,MAIN-DESKTOP,0,15
1647983526981,230,getEfCore,200,OK,10000User 1-4,text,true,,123418,121,23,23,https://10.10.1.62:8001/getEfCore,,221,1,0,MAIN-DESKTOP,0,6
