timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1649614957474,150,100getEfCore,200,OK,100UserGetEfCore 3-1,text,true,,123310,124,100,100,https://10.10.1.62:8001/getEfCore,,148,1,0,MAIN-DESKTOP,0,14
1649614958080,31,100getEfCore,200,OK,100UserGetEfCore 3-2,text,true,,123310,124,99,99,https://10.10.1.62:8001/getEfCore,,29,1,0,MAIN-DESKTOP,0,13
1649614958686,31,100getEfCore,200,OK,100UserGetEfCore 3-3,text,true,,123310,124,98,98,https://10.10.1.62:8001/getEfCore,,28,1,0,MAIN-DESKTOP,0,12
1649614959292,27,100getEfCore,200,OK,100UserGetEfCore 3-4,text,true,,123310,124,97,97,https://10.10.1.62:8001/getEfCore,,25,1,0,MAIN-DESKTOP,0,12
1649614959899,28,100getEfCore,200,OK,100UserGetEfCore 3-5,text,true,,123310,124,96,96,https://10.10.1.62:8001/getEfCore,,25,1,0,MAIN-DESKTOP,0,14
1649614960505,28,100getEfCore,200,OK,100UserGetEfCore 3-6,text,true,,123310,124,95,95,https://10.10.1.62:8001/getEfCore,,25,1,0,MAIN-DESKTOP,0,13
1649614961112,30,100getEfCore,200,OK,100UserGetEfCore 3-7,text,true,,123310,124,94,94,https://10.10.1.62:8001/getEfCore,,28,1,0,MAIN-DESKTOP,0,14
1649614961717,31,100getEfCore,200,OK,100UserGetEfCore 3-8,text,true,,123310,124,93,93,https://10.10.1.62:8001/getEfCore,,27,1,0,MAIN-DESKTOP,0,14
1649614962324,29,100getEfCore,200,OK,100UserGetEfCore 3-9,text,true,,123310,124,92,92,https://10.10.1.62:8001/getEfCore,,26,1,0,MAIN-DESKTOP,0,13
1649614962930,30,100getEfCore,200,OK,100UserGetEfCore 3-10,text,true,,123310,124,91,91,https://10.10.1.62:8001/getEfCore,,27,1,0,MAIN-DESKTOP,0,12
1649614963536,31,100getEfCore,200,OK,100UserGetEfCore 3-11,text,true,,123310,124,90,90,https://10.10.1.62:8001/getEfCore,,28,1,0,MAIN-DESKTOP,0,13
1649614964142,31,100getEfCore,200,OK,100UserGetEfCore 3-12,text,true,,123310,124,89,89,https://10.10.1.62:8001/getEfCore,,28,1,0,MAIN-DESKTOP,0,14
1649614964749,31,100getEfCore,200,OK,100UserGetEfCore 3-13,text,true,,123310,124,88,88,https://10.10.1.62:8001/getEfCore,,26,1,0,MAIN-DESKTOP,0,13
1649614965355,29,100getEfCore,200,OK,100UserGetEfCore 3-14,text,true,,123310,124,87,87,https://10.10.1.62:8001/getEfCore,,27,1,0,MAIN-DESKTOP,0,13
1649614965961,30,100getEfCore,200,OK,100UserGetEfCore 3-15,text,true,,123310,124,86,86,https://10.10.1.62:8001/getEfCore,,26,1,0,MAIN-DESKTOP,0,13
1649614966567,29,100getEfCore,200,OK,100UserGetEfCore 3-16,text,true,,123310,124,85,85,https://10.10.1.62:8001/getEfCore,,26,1,0,MAIN-DESKTOP,0,11
1649614967174,30,100getEfCore,200,OK,100UserGetEfCore 3-17,text,true,,123310,124,84,84,https://10.10.1.62:8001/getEfCore,,26,1,0,MAIN-DESKTOP,0,10
1649614967781,29,100getEfCore,200,OK,100UserGetEfCore 3-18,text,true,,123310,124,83,83,https://10.10.1.62:8001/getEfCore,,26,1,0,MAIN-DESKTOP,0,13
1649614968387,31,100getEfCore,200,OK,100UserGetEfCore 3-19,text,true,,123310,124,82,82,https://10.10.1.62:8001/getEfCore,,29,1,0,MAIN-DESKTOP,0,15
1649614968993,29,100getEfCore,200,OK,100UserGetEfCore 3-20,text,true,,123310,124,81,81,https://10.10.1.62:8001/getEfCore,,26,1,0,MAIN-DESKTOP,0,13
1649614969600,26,100getEfCore,200,OK,100UserGetEfCore 3-21,text,true,,123310,124,80,80,https://10.10.1.62:8001/getEfCore,,23,1,0,MAIN-DESKTOP,0,12
1649614970206,25,100getEfCore,200,OK,100UserGetEfCore 3-22,text,true,,123310,124,79,79,https://10.10.1.62:8001/getEfCore,,22,1,0,MAIN-DESKTOP,0,11
1649614970812,32,100getEfCore,200,OK,100UserGetEfCore 3-23,text,true,,123310,124,78,78,https://10.10.1.62:8001/getEfCore,,27,1,0,MAIN-DESKTOP,0,13
1649614971418,28,100getEfCore,200,OK,100UserGetEfCore 3-24,text,true,,123310,124,77,77,https://10.10.1.62:8001/getEfCore,,25,1,0,MAIN-DESKTOP,0,13
1649614972024,28,100getEfCore,200,OK,100UserGetEfCore 3-25,text,true,,123310,124,76,76,https://10.10.1.62:8001/getEfCore,,26,1,0,MAIN-DESKTOP,0,14
1649614972630,26,100getEfCore,200,OK,100UserGetEfCore 3-26,text,true,,123310,124,75,75,https://10.10.1.62:8001/getEfCore,,23,1,0,MAIN-DESKTOP,0,9
1649614973236,28,100getEfCore,200,OK,100UserGetEfCore 3-27,text,true,,123310,124,74,74,https://10.10.1.62:8001/getEfCore,,25,1,0,MAIN-DESKTOP,0,9
1649614973842,27,100getEfCore,200,OK,100UserGetEfCore 3-28,text,true,,123310,124,73,73,https://10.10.1.62:8001/getEfCore,,24,1,0,MAIN-DESKTOP,0,9
1649614974448,29,100getEfCore,200,OK,100UserGetEfCore 3-29,text,true,,123310,124,72,72,https://10.10.1.62:8001/getEfCore,,26,1,0,MAIN-DESKTOP,0,12
1649614975054,36,100getEfCore,200,OK,100UserGetEfCore 3-30,text,true,,123310,124,71,71,https://10.10.1.62:8001/getEfCore,,33,1,0,MAIN-DESKTOP,0,17
1649614975660,26,100getEfCore,200,OK,100UserGetEfCore 3-31,text,true,,123310,124,70,70,https://10.10.1.62:8001/getEfCore,,23,1,0,MAIN-DESKTOP,0,10
1649614976267,31,100getEfCore,200,OK,100UserGetEfCore 3-32,text,true,,123310,124,69,69,https://10.10.1.62:8001/getEfCore,,28,1,0,MAIN-DESKTOP,0,13
1649614976873,32,100getEfCore,200,OK,100UserGetEfCore 3-33,text,true,,123310,124,68,68,https://10.10.1.62:8001/getEfCore,,29,1,0,MAIN-DESKTOP,0,15
1649614977479,30,100getEfCore,200,OK,100UserGetEfCore 3-34,text,true,,123310,124,67,67,https://10.10.1.62:8001/getEfCore,,27,1,0,MAIN-DESKTOP,0,13
1649614978086,28,100getEfCore,200,OK,100UserGetEfCore 3-35,text,true,,123310,124,66,66,https://10.10.1.62:8001/getEfCore,,25,1,0,MAIN-DESKTOP,0,11
1649614978692,29,100getEfCore,200,OK,100UserGetEfCore 3-36,text,true,,123310,124,65,65,https://10.10.1.62:8001/getEfCore,,26,1,0,MAIN-DESKTOP,0,10
1649614979299,24,100getEfCore,200,OK,100UserGetEfCore 3-37,text,true,,123310,124,64,64,https://10.10.1.62:8001/getEfCore,,22,1,0,MAIN-DESKTOP,0,9
