timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1649615122517,24,100Plain,200,OK,100UserPlain 4-1,text,true,,242,120,100,100,https://10.10.1.62:8001/plain,,24,1,0,MAIN-DESKTOP,0,15
1649615123123,17,100Plain,200,OK,100UserPlain 4-2,text,true,,242,120,99,99,https://10.10.1.62:8001/plain,,16,1,0,MAIN-DESKTOP,0,14
1649615123729,15,100Plain,200,OK,100UserPlain 4-3,text,true,,242,120,98,98,https://10.10.1.62:8001/plain,,15,1,0,MAIN-DESKTOP,0,13
1649615124335,16,100Plain,200,OK,100UserPlain 4-4,text,true,,242,120,97,97,https://10.10.1.62:8001/plain,,16,1,0,MAIN-DESKTOP,0,14
1649615124941,15,100Plain,200,OK,100UserPlain 4-5,text,true,,242,120,96,96,https://10.10.1.62:8001/plain,,15,1,0,MAIN-DESKTOP,0,13
1649615125548,15,100Plain,200,OK,100UserPlain 4-6,text,true,,242,120,95,95,https://10.10.1.62:8001/plain,,15,1,0,MAIN-DESKTOP,0,13
1649615126154,15,100Plain,200,OK,100UserPlain 4-7,text,true,,242,120,94,94,https://10.10.1.62:8001/plain,,15,1,0,MAIN-DESKTOP,0,13
1649615126760,15,100Plain,200,OK,100UserPlain 4-8,text,true,,242,120,93,93,https://10.10.1.62:8001/plain,,15,1,0,MAIN-DESKTOP,0,13
1649615127366,15,100Plain,200,OK,100UserPlain 4-9,text,true,,242,120,92,92,https://10.10.1.62:8001/plain,,15,1,0,MAIN-DESKTOP,0,13
1649615127972,15,100Plain,200,OK,100UserPlain 4-10,text,true,,242,120,91,91,https://10.10.1.62:8001/plain,,15,1,0,MAIN-DESKTOP,0,13
1649615128578,18,100Plain,200,OK,100UserPlain 4-11,text,true,,242,120,90,90,https://10.10.1.62:8001/plain,,18,1,0,MAIN-DESKTOP,0,16
1649615129184,13,100Plain,200,OK,100UserPlain 4-12,text,true,,242,120,89,89,https://10.10.1.62:8001/plain,,13,1,0,MAIN-DESKTOP,0,11
